datetime,open,high,low,close,volume
2025-08-21 00:00:00,3339.92,3339.93,3338.2,3338.2,
2025-08-21 00:15:00,3338.21,3338.21,3336.93,3336.94,
2025-08-21 00:30:00,3336.93,3337.24,3336.93,3337.24,
2025-08-21 00:45:00,3337.42,3337.42,3336.56,3336.56,
2025-08-21 01:00:00,3336.57,3336.67,3335.59,3336.66,
2025-08-21 01:15:00,3336.67,3337.17,3336.67,3336.85,
2025-08-21 01:30:00,3336.85,3339.15,3336.85,3338.05,
2025-08-21 01:45:00,3337.96,3338.04,3336.86,3336.87,
2025-08-21 02:00:00,3336.87,3337.25,3336.45,3337.15,
2025-08-21 02:15:00,3337.15,3337.24,3335.31,3335.31,
2025-08-21 02:30:00,3335.31,3335.96,3335.31,3335.31,
2025-08-21 02:45:00,3335.32,3337.15,3335.31,3337.15,
2025-08-21 03:00:00,3337.14,3337.15,3337.08,3337.08,
2025-08-21 03:15:00,3337.09,3337.09,3337.08,3337.08,
2025-08-21 03:30:00,3337.08,3337.09,3337.03,3337.09,
2025-08-21 03:45:00,3337.08,3337.09,3334.32,3334.33,
2025-08-21 04:00:00,3334.32,3334.99,3334.32,3334.86,
2025-08-21 04:15:00,3334.86,3334.86,3334.35,3334.35,
2025-08-21 04:30:00,3334.35,3334.49,3334.07,3334.1,
2025-08-21 04:45:00,3334.1,3334.11,3333,3333.12,
2025-08-21 05:00:00,3333.13,3333.13,3332,3332.09,
2025-08-21 05:15:00,3332.09,3333.04,3332.09,3333.04,
2025-08-21 05:30:00,3333.04,3334.45,3333.04,3333.56,
2025-08-21 05:45:00,3333.5,3333.73,3333.08,3333.08,
2025-08-21 06:00:00,3333.08,3333.08,3332.37,3332.4,
2025-08-21 06:15:00,3332.4,3332.4,3330.13,3330.14,
2025-08-21 06:30:00,3330.13,3331.19,3330,3330.69,
2025-08-21 06:45:00,3330.69,3330.69,3330,3330.01,
2025-08-21 07:00:00,3330.01,3333.07,3330,3332.93,
2025-08-21 07:15:00,3332.94,3333.6,3331.47,3332.33,
2025-08-21 07:30:00,3332.32,3334.78,3332.22,3334.36,
2025-08-21 07:45:00,3334.36,3334.46,3334.35,3334.36,
2025-08-21 08:00:00,3334.36,3334.91,3334.35,3334.78,
2025-08-21 08:15:00,3334.99,3335.58,3334.99,3335.17,
2025-08-21 08:30:00,3335.17,3335.58,3335.17,3335.21,
2025-08-21 08:45:00,3335.22,3335.3,3334.84,3335.29,
2025-08-21 09:00:00,3335.26,3335.26,3334.84,3334.84,
2025-08-21 09:15:00,3334.85,3334.85,3334.84,3334.84,
2025-08-21 09:30:00,3334.85,3334.98,3334.84,3334.98,
2025-08-21 09:45:00,3334.98,3336.28,3334.98,3336.07,
2025-08-21 10:00:00,3336.32,3336.32,3335.52,3336.21,
2025-08-21 10:15:00,3336.01,3336.01,3330.1,3330.36,
2025-08-21 10:30:00,3330.35,3330.67,3324.49,3324.99,
2025-08-21 10:45:00,3325,3325.94,3318.25,3323.96,
2025-08-21 11:00:00,3324.09,3324.17,3321.76,3324.17,
2025-08-21 11:15:00,3324.17,3325.94,3324.17,3325.93,
2025-08-21 11:30:00,3325.94,3328.22,3325.53,3327.67,
2025-08-21 11:45:00,3328.09,3328.09,3327,3327.65,
2025-08-21 12:00:00,3327.66,3335.5,3327.65,3335.06,
2025-08-21 12:15:00,3334.41,3334.41,3329.04,3329.86,
2025-08-21 12:30:00,3329.85,3336.25,3329.52,3332.85,
2025-08-21 12:45:00,3332.56,3335,3331.32,3333.72,
2025-08-21 13:00:00,3333.73,3335.18,3332.21,3333.15,
2025-08-21 13:15:00,3333.15,3335.84,3333.15,3335.13,
2025-08-21 13:30:00,3335.13,3338.1,3335.13,3336.9,
2025-08-21 13:45:00,3336.89,3336.89,3329.4,3331.62,
2025-08-21 14:00:00,3331.62,3337.14,3331.62,3337.14,
2025-08-21 14:15:00,3337.14,3337.14,3334.75,3336.59,
2025-08-21 14:30:00,3336.74,3338.38,3335.87,3336.67,
2025-08-21 14:45:00,3336.35,3336.35,3333.89,3335.71,
2025-08-21 15:00:00,3335.71,3335.84,3331.66,3331.9,
2025-08-21 15:15:00,3331.9,3337.84,3331,3336.51,
2025-08-21 15:30:00,3336.61,3337.51,3334.88,3336.98,
2025-08-21 15:45:00,3336.98,3337.41,3335.84,3335.84,
2025-08-21 16:00:00,3335.84,3336.25,3335.51,3335.51,
2025-08-21 16:15:00,3335.51,3335.52,3333.55,3334.14,
2025-08-21 16:30:00,3334.14,3334.14,3333.21,3333.81,
2025-08-21 16:45:00,3334.1,3334.3,3331.99,3332,
2025-08-21 17:00:00,3332,3334,3332,3333.5,
2025-08-21 17:15:00,3333.51,3333.84,3332.83,3332.83,
2025-08-21 17:30:00,3332.67,3333.25,3332.67,3333.24,
2025-08-21 17:45:00,3333.24,3333.24,3331.52,3331.74,
2025-08-21 18:00:00,3331.75,3331.75,3331.44,3331.44,
2025-08-21 18:15:00,3331.44,3332.54,3331.44,3332.33,
2025-08-21 18:30:00,3332.09,3332.33,3331.93,3332.33,
2025-08-21 18:45:00,3332.33,3332.85,3332.33,3332.81,
2025-08-21 19:00:00,3332.81,3333.23,3332.81,3333.22,
2025-08-21 19:15:00,3333.23,3333.79,3333.22,3333.78,
2025-08-21 19:30:00,3333.78,3334,3333.78,3333.8,
2025-08-21 19:45:00,3333.8,3333.8,3331,3332.07,
2025-08-21 20:00:00,3332.08,3332.5,3331.11,3332.35,
2025-08-21 20:15:00,3332.36,3332.36,3332.35,3332.35,
2025-08-21 20:30:00,3332.36,3332.36,3332.02,3332.02,
2025-08-21 20:45:00,3332.03,3332.35,3331.95,3332.14,
2025-08-21 21:00:00,3332.13,3332.33,3330.54,3331.54,
2025-08-21 21:15:00,3331.55,3332.65,3330.73,3332.65,
2025-08-21 21:30:00,3332.5,3334.29,3332.5,3333.8,
2025-08-21 21:45:00,3333.73,3335.22,3333.73,3335.22,
2025-08-21 22:00:00,3335.27,3335.28,3331.98,3331.98,
2025-08-21 22:15:00,3331.97,3333.16,3331.97,3333.15,
2025-08-21 22:30:00,3333.15,3333.15,3333,3333.04,
2025-08-21 22:45:00,3333.05,3333.32,3333.04,3333.31,
2025-08-21 23:00:00,3333.31,3333.32,3332.37,3332.37,
2025-08-21 23:15:00,3332.36,3332.37,3331.36,3331.36,
2025-08-21 23:30:00,3331.36,3331.87,3331.35,3331.75,
2025-08-21 23:45:00,3331.74,3331.74,3331.49,3331.5,
2025-08-22 00:00:00,3331.5,3331.5,3330.83,3330.93,
2025-08-22 13:45:00,3326.84,3328.11,3325.63,3327.29,
2025-08-22 14:00:00,3327.29,3346.97,3327.29,3346.23,
2025-08-22 14:15:00,3346.34,3351.13,3344.82,3350.58,
2025-08-22 14:30:00,3350.53,3358.98,3350.53,3358.08,
2025-08-22 14:45:00,3358.08,3360.68,3357.07,3359.73,
2025-08-22 15:00:00,3359.73,3363.43,3358.92,3361.84,
2025-08-22 15:15:00,3361.33,3362.95,3360.27,3362.23,
2025-08-22 15:30:00,3362.24,3362.71,3356.54,3356.54,
2025-08-22 15:45:00,3356.55,3356.8,3351,3351.95,
2025-08-22 16:00:00,3352.19,3356.16,3352.01,3355.84,
2025-08-22 16:15:00,3355.83,3356.38,3354.09,3354.17,
2025-08-22 16:30:00,3354.17,3356.82,3354.17,3355.65,
2025-08-22 16:45:00,3355.64,3356.39,3354.57,3354.69,
2025-08-22 17:00:00,3354.69,3361.44,3354.69,3359.92,
2025-08-22 17:15:00,3359.91,3361.44,3359.05,3361.11,
2025-08-22 17:30:00,3361.12,3361.25,3356,3359.81,
2025-08-22 17:45:00,3359.81,3360.87,3359.81,3360.43,
2025-08-22 18:00:00,3360.44,3363,3360.43,3362.45,
2025-08-22 18:15:00,3362.46,3363.27,3360.16,3360.44,
2025-08-22 18:30:00,3360.43,3363.35,3360.09,3361.81,
2025-08-22 18:45:00,3361.82,3362.16,3361.12,3361.12,
2025-08-22 19:00:00,3361.13,3362.09,3361.13,3362.07,
2025-08-22 19:15:00,3362.07,3362.49,3361.4,3361.4,
2025-08-22 19:30:00,3361.41,3361.41,3360.52,3360.52,
2025-08-22 19:45:00,3360.52,3361.99,3360.29,3361.37,
2025-08-22 20:00:00,3361.36,3362.48,3361.13,3362.22,
2025-08-22 20:15:00,3362.22,3362.64,3362.21,3362.63,
2025-08-22 20:30:00,3362.63,3363,3362.63,3362.99,
2025-08-22 20:45:00,3362.99,3363.42,3362.99,3363.42,
2025-08-22 21:00:00,3363.43,3364.57,3360.63,3360.64,
2025-08-22 21:15:00,3360.64,3363.27,3359.53,3363.27,
2025-08-22 21:30:00,3363.27,3363.69,3363.27,3363.69,
2025-08-22 21:45:00,3363.69,3365.5,3363.68,3364.66,
2025-08-22 22:00:00,3364.64,3364.64,3360.48,3360.48,
2025-08-22 22:15:00,3360.48,3360.66,3360.48,3360.59,
2025-08-22 22:30:00,3360.58,3360.64,3360.1,3360.63,
2025-08-22 22:45:00,3360.63,3363.44,3360,3363.44,
2025-08-22 23:00:00,3363.6,3365.06,3363.6,3364.96,
2025-08-22 23:15:00,3364.96,3364.96,3364.95,3364.95,
2025-08-22 23:30:00,3364.95,3364.96,3363.33,3364.96,
2025-08-22 23:45:00,3364.99,3365,3364.74,3364.74,
2025-08-23 00:00:00,3364.74,3366.18,3360,3362.54,
2025-08-23 00:15:00,3362.54,3362.66,3360.51,3360.51,
2025-08-23 00:30:00,3360.51,3360.52,3360,3360,
2025-08-23 00:45:00,3360,3360.68,3360,3360.67,
2025-08-23 01:00:00,3360.67,3360.73,3360.39,3360.39,
2025-08-23 01:15:00,3360.4,3360.4,3360,3360.33,
2025-08-23 01:30:00,3360.33,3360.69,3360.13,3360.21,
2025-08-23 01:45:00,3360.21,3360.21,3358.58,3358.79,
2025-08-23 02:00:00,3358.79,3359.46,3358.59,3358.93,
2025-08-23 02:15:00,3358.93,3360.09,3358.84,3358.94,
2025-08-23 02:30:00,3358.93,3359.2,3358.66,3358.87,
2025-08-23 02:45:00,3358.86,3358.87,3358.86,3358.87,
2025-08-23 03:00:00,3358.86,3359.13,3358.86,3359.01,
2025-08-23 03:15:00,3359,3360.56,3359,3360.14,
2025-08-23 03:30:00,3360.14,3360.42,3359.86,3360.2,
2025-08-23 03:45:00,3360.19,3360.19,3360.02,3360.17,
2025-08-23 04:00:00,3360.11,3360.11,3359.46,3359.46,
2025-08-23 04:15:00,3359.46,3359.46,3345.51,3355.09,
2025-08-23 04:30:00,3355.09,3355.56,3355.08,3355.48,
2025-08-23 04:45:00,3355.48,3356.08,3355.48,3356.08,
2025-08-23 05:00:00,3356.09,3357.05,3356.09,3357.03,
2025-08-23 05:15:00,3357.04,3357.23,3355,3357.15,
2025-08-23 05:30:00,3357.15,3357.15,3354.35,3357,
2025-08-23 05:45:00,3357,3357.6,3356.36,3357.6,
2025-08-23 06:00:00,3357.6,3357.63,3357.37,3357.56,
